year,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_per_capita,homicide_per_capita,rape_legacy_per_capita,rape_revised_per_capita,robbery_per_capita,aggravated_assault_per_capita,property_crime_per_capita,burglary_per_capita,larceny_per_capita,motor_vehicle_theft_per_capita,arson_per_capita
1979,220099000,1208030,21460,76390,,480700,629480,11041500,3327700,6601000,1112800,97747,0.0054885755955274675,9.750157883497881e-05,0.0003470710907364413,,0.0021840171922634815,0.0028599857336925657,0.050166061635900205,0.015119105493437044,0.029991049482278428,0.005055906660184735,0.00044410469834029235
1980,225349264,1344520,23040,82990,,565840,672650,12063700,3795200,7136900,1131700,140117,0.005966382921046505,0.00010224129243217763,0.0003682727803362162,,0.0025109467408777515,0.0029849221074003595,0.053533345465020025,0.016841412892300373,0.03167039409545176,0.005021982232877406,0.0006217770473836559
1981,229465714,1361820,22520,82500,,592910,663900,12061900,3779700,7194400,1087800,124102,0.005934742826111269,9.814102336874606e-05,0.0003595308360533548,,0.0025838718545987223,0.0028932426915857243,0.05256515141081164,0.016471741830677154,0.031352832083663705,0.00474057749647078,0.0005408302523138599
1982,231664458,1322390,21010,78770,,553130,669480,11652000,3447100,7142500,1062400,107461,0.0057082126944134,9.069151211792705e-05,0.0003400176301536941,,0.0023876342740499277,0.0028898692780918514,0.05029688239876658,0.014879710205697587,0.030831229190970675,0.004585943002098319,0.00046386485405542873
1983,233791994,1258087,19308,78918,,506567,653294,10850543,3129851,6712759,1007933,103727,0.005381223618803645,8.258623261496285e-05,0.0003375564691064656,,0.0021667422880186395,0.0027943386290635768,0.046411097379151486,0.013387331817701166,0.028712527256172852,0.0043112383052774685,0.00044367216441124156
1984,235824902,1273282,18692,84233,,485008,685349,10608473,2984434,6591874,1032165,103504,0.005399268648906297,7.926219767919166e-05,0.00035718450123643005,,0.002056644552321281,0.0029061773976693946,0.0449845326343017,0.012655296258747093,0.027952408520453876,0.0043768278551007305,0.00043890191036737925
1985,237923795,1327767,18976,87671,,497874,723246,11102590,3073348,6926380,1102862,103698,0.005580639801075802,7.975662963849412e-05,0.00036848353061954143,,0.002092577583507358,0.003039822057310409,0.04666447927160879,0.012917362889239389,0.029111758241751315,0.004635358140618092,0.00043584543529998754
1986,240132887,1489169,20613,91459,,542775,834322,11722700,3241410,7257153,1224137,111163,0.006201437123437408,8.583997076585349e-05,0.00038086828148615895,,0.002260310975230977,0.003474417895954418,0.048817553257501124,0.013498400991614281,0.030221404034508608,0.005097748231378237,0.00046292284821445554
1987,242288918,1483999,20096,91111,,517704,855088,12024709,3236184,7499851,1288674,102914,0.006124914883643172,8.29422994905611e-05,0.00037604278706630735,,0.002136721746390398,0.003529208050695905,0.0496296285412443,0.01335671489523099,0.030954164399710597,0.005318749246302714,0.0004247573551836985
1988,244498982,1566221,20675,92486,,542968,910092,12356865,3218077,7705872,1432916,100212,0.006405838532284768,8.456067927513907e-05,0.00037826742362469224,,0.0022207372626197684,0.003722273166765169,0.05053953557974323,0.01316192392163007,0.0315169901198198,0.005860621538293358,0.00040986673719565835
1989,246819230,1646037,21500,94504,,578326,951707,12605412,3168170,7872442,1564800,102187,0.006668998197587765,8.710828568746447e-05,0.0003828875084003787,,0.0023431156478366777,0.003855886755663244,0.0510714339397299,0.012835993370532758,0.03189557799041833,0.006339862578778809,0.0004140155530020898
1990,249464396,1820127,23438,102555,,639271,1054863,12655486,3073909,7945670,1635907,104088,0.007296139365715338,9.395328702537576e-05,0.000411100748821888,,0.0025625740997524955,0.004228511230115579,0.05073063011364556,0.012322034924775398,0.03185091791615827,0.006557677272711894,0.00041724591432277977
1991,252153092,1911767,24703,106593,,687732,1092739,12961116,3157150,8142228,1661738,103299,0.007581770998072869,9.796826128152338e-05,0.000422731282628888,,0.00272743829768306,0.004333633156479398,0.05140177301494284,0.012520766550822229,0.032290811647076686,0.006590194817043925,0.0004096677902327686
1992,255029699,1932274,23760,109062,,672478,1126974,12505917,2979884,7915199,1610834,103979,0.007576662669393654,9.316561989903772e-05,0.0004276443113395981,,0.0026368615209791703,0.004418991217175847,0.04903710057705867,0.011684458757879802,0.031036381374547284,0.006316260444631587,0.0004077132993047998
1993,257782608,1926017,24526,106014,,659870,1135607,12218777,2834808,7820909,1563060,97138,0.007471477672380442,9.514218274958255e-05,0.000411253500856815,,0.002559792552025077,0.004405289436748968,0.047399539847932645,0.010996893940959741,0.030339164696479445,0.006063481210493456,0.00037682138742269224
1994,260327021,1857670,23326,102216,,618949,1113179,12131873,2712774,7879812,1539287,103187,0.0071359092608369685,8.960268477085981e-05,0.00039264460372709446,,0.002377582617518602,0.004276079354820413,0.0466024347122998,0.010420639354222088,0.030268897826015533,0.005912897532062183,0.0003963745277137405
1995,262803276,1798792,21606,97470,,580509,1099207,12063935,2593784,7997710,1472441,96547,0.006844633093538758,8.221358701784219e-05,0.0003708857875881273,,0.002208910820426759,0.0041826228985060296,0.04590481208461039,0.009869679097912006,0.030432307091940513,0.0056028258947578725,0.0003673736548093868
1996,265228572,1688540,19645,96252,,535594,1037049,11805323,2506400,7904685,1394238,91719,0.006366357844734767,7.406818900340797e-05,0.0003629020782874026,,0.002019367656965706,0.003910019920478251,0.04450999721100938,0.009449962276311619,0.029803293590857927,0.005256741343839833,0.0003458111594402431
1997,267783607,1636099,18211,96153,,498534,1023201,11558975,2461026,7743760,1354189,87332,0.006109780274936695,6.800640339421523e-05,0.00035906977681423197,,0.0018617047009901544,0.003820999393738094,0.04316535701903515,0.009190353463272306,0.028917976297182374,0.00505702725858047,0.00032612900012210234
1998,270248003,1533887,16974,93144,,447186,976583,10951827,2332735,7376311,1242781,80427,0.005675849526999095,6.28089747623408e-05,0.0003446611962568323,,0.0016547245309339066,0.0036136548250460154,0.04052509871830579,0.008631830667033644,0.02729459947202644,0.004598668579245709,0.00029760441930074135
1999,272690813,1426044,15522,89411,,409371,911740,10208334,2100739,6955520,1152075,78498,0.0052295271128184285,5.692160960332756e-05,0.00032788416674675434,,0.001501227692624907,0.00334349364384344,0.03743556259814297,0.00770373954622373,0.02550698325139395,0.004224839800525293,0.000287864483355367
2000,281421906,1425486,15586,90178,,408016,911706,10182584,2050992,6971590,1160002,69466,0.00506529864807326,5.538303759480614e-05,0.00032043703093958864,,0.0014498373840165805,0.0032396411955222847,0.0361826275172765,0.00728796144248984,0.02477273393209127,0.004121932142695388,0.00024683934874636235
2001,285317559,1439480,16037,90863,,423557,909023,10437189,2116531,7092267,1228391,79040,0.00504518545947605,5.6207546623515026e-05,0.00031846269931112093,,0.0014845108078328961,0.003186004405708518,0.03658095574832813,0.007418158936373068,0.024857450150833516,0.004305346661121547,0.0002770246607920826
2002,287973924,1423677,16229,95235,,420806,891407,10455277,2151252,7057379,1246646,77148,0.004943770533890422,5.635579699223045e-05,0.00033070702609865467,,0.0014612642497450568,0.003095443461054481,0.03630633237473265,0.007470301373536862,0.024507007099712264,0.0043290239014835245,0.0002678992560451411
2003,290788976,1383676,16528,93883,,414235,859030,10442862,2154834,7026802,1261226,72809,0.004758350949315217,5.683846831937673e-05,0.00032285611817691465,,0.0014245209900942048,0.002954135372724721,0.03591216607881311,0.0074103015514590895,0.024164609321365747,0.004337255205988277,0.00025038431993377905
2004,293656842,1360088,16148,95089,,401470,847381,10319386,2144446,6937089,1237851,69302,0.004631555630500174,5.4989353866306305e-05,0.00032380992505531337,,0.0013671399490157291,0.0028856164025628252,0.035140969063475795,0.007302557588629248,0.023623113811187823,0.004215297663658728,0.00023599654456544215
2005,296507061,1390745,16740,94347,,417438,862220,10174754,2155448,6783447,1235859,68510,0.004690427928797284,5.645734015083034e-05,0.0003181947832264271,,0.0014078518015461358,0.002907924003873891,0.03431538515705027,0.007269466004386317,0.02287785989690141,0.0041680592557625466,0.0002310568920987686
